redcap_event_name,group,group_value,list_discipline,list_year_enrolled,student_survey_timestamp,advanced,milestones_cogsci,milestones_psysci,enjoy,good,nonexperts,discouraged,writers_block,inspired,cant_start,rejection,rcv_fdbk,gv_fdbk,timeblock,hours,conference_submit,conference_accept,perma_hap,Person,IV,Epoch
phdx_study_enrollm_arm_1,NaN,NaN,1,5,09/28/0021 09:52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1004,1,1
sept_2021_arm_1,1,98,NaN,NaN,09/28/0021 09:56,1,NaN,NaN,7,6,6,7,7,7,5,2,4,6,5,14,3,2,63,1004,1,1
phdx_study_enrollm_arm_1,NaN,NaN,9,6,09/28/0021 09:52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1006,1,1
sept_2021_arm_1,1,100,NaN,NaN,09/28/0021 09:45,1,NaN,NaN,5,3,5,6,2,1,1,1,2,4,10,12,0,0,79,1006,1,1
phdx_study_enrollm_arm_1,NaN,NaN,9,6,09/28/0021 09:50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1020,1,1
sept_2021_arm_1,1,35,NaN,NaN,09/28/0021 09:46,1,NaN,NaN,6,6,5,3,2,5,2,3,3,5,30,6,1,1,68,1020,1,1
phdx_study_enrollm_arm_1,NaN,NaN,4,9,09/28/0021 09:52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,1
sept_2021_arm_1,1,66,NaN,NaN,09/28/0021 09:46,0,NaN,NaN,5,5,6,7,7,7,6,3,2,7,30,5,3,3,71,1025,1,1
phdx_study_enrollm_arm_1,NaN,NaN,7,5,09/28/0021 10:06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,1
sept_2021_arm_1,1,100,NaN,NaN,09/28/0021 11:10,1,NaN,NaN,6,6,5,7,7,7,4,7,5,6,30,10,0,0,50,1071,1,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,1
phdx_study_enrollm_arm_1,NaN,NaN,1,5,09/28/0021 10:23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075,1,1
sept_2021_arm_1,1,50,NaN,NaN,09/28/0021 10:26,1,NaN,NaN,6,5,4,2,4,1,5,3,4,7,60,11,0,0,59,1075,1,1
phdx_study_enrollm_arm_1,NaN,NaN,1,4,09/28/0021 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1117,1,1
sept_2021_arm_1,1,97,NaN,NaN,09/28/0021 12:18,1,NaN,NaN,5,5,5,7,7,4,4,6,6,4,45,5,2,2,21,1117,1,1
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,12/19/0021 22:31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1006,1,2
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,12/14/0021 14:28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,2
sept_2021_arm_1,NaN,NaN,NaN,NaN,12/14/0021 14:28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,2
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,12/14/0021 14:33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,2
sept_2021_arm_1,NaN,100,NaN,NaN,12/14/0021 14:33,1,NaN,NaN,6,5,5,7,7,4,4,4,4,6,35,20,3,2,NaN,1071,1,2
phdx_study_enrollm_arm_1,NaN,NaN,9,6,12/14/0021 14:02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,2
sept_2021_arm_1,1,90,NaN,NaN,12/14/0021 14:15,1,NaN,NaN,4,3,6,5,5,3,5,3,2,6,35,5,1,1,54,1220,1,2
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,12/19/0021 22:31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,2
june_2022_arm_1,NaN,NaN,NaN,NaN,12/19/0021 22:31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,2
phdx_study_enrollm_arm_1,NaN,NaN,6,8,12/14/0021 15:10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1283,1,2
sept_2021_arm_1,1,84,NaN,NaN,12/14/0021 15:19,0,NaN,NaN,5,6,5,7,7,7,2,3,3,3,29,5,0,0,4,1283,1,2
june_2022_arm_1,NaN,NaN,NaN,NaN,12/14/0021 15:19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1283,1,2
phdx_study_enrollm_arm_1,NaN,NaN,1,5,06/21/0022 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1004,1,3
sept_2021_arm_1,1,98,NaN,NaN,06/21/0022 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1004,1,3
phdx_study_enrollm_arm_1,NaN,NaN,9,6,06/23/0022 10:07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1006,1,3
