record_id,Duplicate_1,Duplicate_2,Duplicate_3,redcap_event_name,redcap_survey_identifier,student_survey_timestamp,group,group_value,list_discipline,list_year_enrolled,advanced,student_survey_new_participant_timestamp,advanced_nu,milestones_cogsci,milestones_cogsci_nu,milestones_psysci,milestones_psysci_nu,enjoy,enjoy_nu,good,good_nu,nonexperts,nonexperts_nu,discouraged,discouraged_nu,writers_block,writers_block_nu,inspired,inspired_nu,cant_start,cant_start_nu,rejection,rejection_nu,rcv_fdbk,rcv_fdbk_nu,gv_fdbk,gv_fdbk_nu,timeblock,timeblock_j22_nu,hours,hours_j22_nu,conference_submit,conference_submit_nu,conference_accept,conference_accept_nu,perma_hap,perma_hap_nu
1,186,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,8,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 14:24,0,NaN,NaN,NaN,3,NaN,7,NaN,4,NaN,5,NaN,6,NaN,5,NaN,5,NaN,5,NaN,3,NaN,2,NaN,5,NaN,60,NaN,15,NaN,4,NaN,4,NaN,70
2,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,8,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:44,3,50,NaN,NaN,0,06/21/0022 11:51,0,NaN,NaN,3,4,5,6,4,3,4,6,5,6,6,5,5,6,5,5,3,1,2,1,4,6,79,50,20,5,1,5,1,5,74,50
2,NaN,NaN,NaN,proposals_2021_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,proposals_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,8,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:52,3,70,NaN,NaN,0,01/01/0000 00:00,0,NaN,NaN,2,3,5,6,5,5,5,6,7,6,7,5,7,5,6,5,3,2,5,6,6,6,30,60,3,10,1,NaN,1,NaN,38,NaN
3,NaN,NaN,NaN,proposals_2021_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
