Row,logLR,df,p,h
advanced,3.72979387392957,4,0.113504561796842,0
milestones_cogsci,NaN,4,NaN,0
milestones_psysci,2.18803379001378,4,0.357496599058661,0
enjoy,1.77896821514128,4,0.469123836366905,0
good,0.93853596223687,4,0.758355555528748,0
nonexperts,1.66999598269274,4,0.502620928187798,0
discouraged,2.58823164809746,4,0.269665724589669,0
writers_block,0.615227617457549,4,0.873059359060794,0
inspired,1.92814515008354,4,0.42580406403579,0
cant_start,1.76522417754416,4,0.473263733869693,0
rejection,1.28346350641732,4,0.632692893871605,0
rcv_fdbk,0.624022269245984,4,0.870126813762386,0
gv_fdbk,4.51274418941978,4,0.0604655406512665,0
timeblock,0.866946108446882,4,0.784552247231199,0
conference_submit,6.12976303011561,4,0.0155221843201965,0
conference_accept,1.13631921163994,4,0.68575499989588,0
perma_hap,1.52629313753823,4,0.549064107861948,0
hours,1.20416213561964,4,0.661123457476214,0
