Row,logLR,df,p,h
advanced,7.39088120184374,4,0.00517593304846298,0
milestones_cogsci,4.05214103994766,2,0.0173851125434596,0
milestones_psysci,2.40182995135319,2,0.0905520956500218,0
enjoy,4.48093314727271,4,0.0620597419241358,0
good,1.69163935806705,4,0.495846476533326,0
nonexperts,3.81434097495134,4,0.106167015361077,0
discouraged,1.62910664046501,4,0.515580137153369,0
writers_block,7.81880086582487,4,0.00354607131086704,0
inspired,3.37487564633716,4,0.149718629367585,0
cant_start,3.27571638078177,4,0.161578414092064,0
rejection,1.24657700012881,4,0.645862093469148,0
rcv_fdbk,1.59566028456152,4,0.526333963882652,0
gv_fdbk,3.41810223173331,4,0.144801420762755,0
timeblock,3.01193086963872,4,0.197373337284717,0
conference_submit,0.924214728483321,4,0.763611003482087,0
conference_accept,1.52370241356084,4,0.549923897482734,0
perma_hap,3.12872433895473,4,0.180729135692314,0
hours,5.12441279240153,4,0.0364384803158989,0
